watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888109909,"pid":1,"hostname":"f0b70aec8ae7","msg":"Event received: session.qrcode"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888132242,"pid":1,"hostname":"f0b70aec8ae7","msg":"[CreateMessageService] Emitted appMessage create for msg 3EB0794B27E352AB0FA2B7 ticket 58"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888137127,"pid":1,"hostname":"f0b70aec8ae7","msg":"Event received: message.received"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888137127,"pid":1,"hostname":"f0b70aec8ae7","msg":"[EventListener] handleMessageReceived: {\"sessionId\":3,\"message\":{\"id\":\"3A6D1C6C597E066ABCF6\",\"from\":\"120363417426975061@g.us\",\"to\":\"120363417426975061@g.us\",\"body\":\"E como solucionar?\",\"fromMe\":false,\"isGroup\":true,\"type\":\"chat\",\"timestamp\":1769888139,\"hasMedia\":false,\"pushName\":\"Vinny\",\"participant\":\"556399428030@s.whatsapp.net\",\"profilePicUrl\":\"https://pps.whatsapp.net/v/t61.24694-24/578635979_1353112302950394_413669589652193336_n.jpg?ccb=11-4&oh=01_Q5Aa3gHMnTtXvlh20xhSKLIaB1RhtrNc0q1SSHJwF8VOzJETCg&oe=698AFF73&_nc_sid=5e03e0&_nc_cat=109\",\"senderLid\":\"183683000627229@lid\",\"quotedMsgId\":\"3A4C15F480D58E8FAD19\",\"quotedMsg\":{\"id\":\"3A4C15F480D58E8FAD19\",\"body\":\"É com a arquitetura do seu projeto\",\"participant\":\"219790706786550@lid\",\"type\":\"conversation\"}}}"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888137272,"pid":1,"hostname":"f0b70aec8ae7","msg":"[CreateMessageService] Emitted appMessage create for msg 3A6D1C6C597E066ABCF6 ticket 23"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888145598,"pid":1,"hostname":"f0b70aec8ae7","msg":"Event received: message.received"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888145598,"pid":1,"hostname":"f0b70aec8ae7","msg":"[EventListener] handleMessageReceived: {\"sessionId\":3,\"message\":{\"id\":\"3EB03C6230227D92F6B4B2\",\"from\":\"120363400497884561@g.us\",\"to\":\"120363400497884561@g.us\",\"body\":\"Ho tem telegram tb mand ai :)\",\"fromMe\":false,\"isGroup\":true,\"type\":\"chat\",\"timestamp\":1769888148,\"hasMedia\":false,\"pushName\":\"Flavio Gomes\",\"participant\":\"553195603608@s.whatsapp.net\",\"profilePicUrl\":\"https://pps.whatsapp.net/v/t61.24694-24/584714045_1462174555518881_6364404359438700377_n.jpg?ccb=11-4&oh=01_Q5Aa3gGgUqWnkWbJ7LWFf22dJ7tJR8fgH77nT0wEDOxA5Ixh-g&oe=698AE5A7&_nc_sid=5e03e0&_nc_cat=100\",\"senderLid\":\"68470418997302@lid\",\"quotedMsgId\":\"3EB09C781404BAA13C2D12\",\"quotedMsg\":{\"id\":\"3EB09C781404BAA13C2D12\",\"body\":\"Tem aqui um prompt pronto de LGPD e compliance, esta postado no telegram do Mundo Automatik\",\"participant\":\"163513834184783@lid\",\"type\":\"conversation\"}}}"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888145826,"pid":1,"hostname":"f0b70aec8ae7","msg":"[CreateMessageService] Emitted appMessage create for msg 3EB03C6230227D92F6B4B2 ticket 35"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888162476,"pid":1,"hostname":"f0b70aec8ae7","msg":"Event received: message.received"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888162476,"pid":1,"hostname":"f0b70aec8ae7","msg":"[EventListener] handleMessageReceived: {\"sessionId\":3,\"message\":{\"id\":\"3EB040A638F193BA613F70\",\"from\":\"120363400497884561@g.us\",\"to\":\"120363400497884561@g.us\",\"body\":\"sim, ta postado la\",\"fromMe\":false,\"isGroup\":true,\"type\":\"chat\",\"timestamp\":1769888165,\"hasMedia\":false,\"pushName\":\"Claudeir Ribeiro\",\"participant\":\"554591111217@s.whatsapp.net\",\"profilePicUrl\":\"https://pps.whatsapp.net/v/t61.24694-24/534423086_869834008737303_2084404800501622047_n.jpg?ccb=11-4&oh=01_Q5Aa3gGHY19rrXfYKlyE_i8DWqrOcL988EByilNr700Hva-sTw&oe=698A94E7&_nc_sid=5e03e0&_nc_cat=107\",\"senderLid\":\"163513834184783@lid\"}}"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888162751,"pid":1,"hostname":"f0b70aec8ae7","msg":"[CreateMessageService] Emitted appMessage create for msg 3EB040A638F193BA613F70 ticket 35"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888173405,"pid":1,"hostname":"f0b70aec8ae7","msg":"Event received: session.status"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888182224,"pid":1,"hostname":"f0b70aec8ae7","msg":"Event received: message.received"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888182225,"pid":1,"hostname":"f0b70aec8ae7","msg":"[EventListener] handleMessageReceived: {\"sessionId\":3,\"message\":{\"id\":\"3EB0AC28A0712DA8F847F5\",\"from\":\"120363400497884561@g.us\",\"to\":\"120363400497884561@g.us\",\"body\":\"https://t.me/mundoautomatik/238007\",\"fromMe\":false,\"isGroup\":true,\"type\":\"chat\",\"timestamp\":1769888184,\"hasMedia\":false,\"pushName\":\"Claudeir Ribeiro\",\"participant\":\"554591111217@s.whatsapp.net\",\"profilePicUrl\":\"https://pps.whatsapp.net/v/t61.24694-24/534423086_869834008737303_2084404800501622047_n.jpg?ccb=11-4&oh=01_Q5Aa3gGHY19rrXfYKlyE_i8DWqrOcL988EByilNr700Hva-sTw&oe=698A94E7&_nc_sid=5e03e0&_nc_cat=107\",\"senderLid\":\"163513834184783@lid\",\"quotedMsgId\":\"3EB03C6230227D92F6B4B2\",\"quotedMsg\":{\"id\":\"3EB03C6230227D92F6B4B2\",\"body\":\"Ho tem telegram tb mand ai :)\",\"participant\":\"68470418997302@lid\",\"type\":\"conversation\"}}}"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888182341,"pid":1,"hostname":"f0b70aec8ae7","msg":"[CreateMessageService] Emitted appMessage create for msg 3EB0AC28A0712DA8F847F5 ticket 35"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888201599,"pid":1,"hostname":"f0b70aec8ae7","msg":"Client disconnected (userId: 1, socketId: Ftboa1VYg0Yrrj_NAAAH)"}
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] Fetching installed plugins for tenant: 550e8400-e29b-41d4-a716-446655440000
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] Found 6 active installations
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] - Plugin: clientes, Status: active
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] - Plugin: helpdesk, Status: active
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] - Plugin: smtp, Status: active
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] - Plugin: webchat, Status: active
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] - Plugin: whatsmeow, Status: active
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] - Plugin: engine-papi, Status: active
watink_backend.1.coseijfvdbb3@docker-desktop    | [PluginRoutes] Returning active slugs: ["clientes","helpdesk","smtp","webchat","whatsmeow","engine-papi"]
watink_backend.1.coseijfvdbb3@docker-desktop    | [DEBUG] 2026-01-31T19:36:43.919Z - GET /whatsapp/4
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888203920,"pid":1,"hostname":"f0b70aec8ae7","msg":"GET /whatsapp/4"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888203951,"pid":1,"hostname":"f0b70aec8ae7","msg":"Socket Connection Attempt"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888203951,"pid":1,"hostname":"f0b70aec8ae7","msg":"[Socket Debug] Final Token provided: YES"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888203961,"pid":1,"hostname":"f0b70aec8ae7","msg":"[UserOnline] User 1 connected via socket jKsqUvG8JA9SzGOLAAAJ"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888203961,"pid":1,"hostname":"f0b70aec8ae7","msg":"Client Connected (userId: 1, socketId: jKsqUvG8JA9SzGOLAAAJ)"}
watink_backend.1.coseijfvdbb3@docker-desktop    | {"level":30,"time":1769888221763,"pid":1,"hostname":"f0b70aec8ae7","msg":"Event received: message.received"}
